D_LOAD_CELL_A,C:\DATALOG.QCZ7.C_SX.R_S32.Loadcell_Variables.LCR1
D_LOAD_CELL_B,C:\DATALOG.QCZ7.C_SX.R_S32.Loadcell_Variables.LCR2
D_LOAD_CELL_C,C:\DATALOG.QCZ7.C_SX.R_S32.Loadcell_Variables.LCR3
D_LOAD_CELL_D,C:\DATALOG.QCZ7.C_SX.R_S32.Loadcell_Variables.LCR4
D_TOTAL_LOAD,C:\DATALOG.QCZ7.C_SX.R_S32.Loadcell_Variables.WEG
D_TROLLEY_POSITION,C:\DATALOG.QCZ7.C_SX.R_S32.Trolley_Variables.TPOS
D_TROLLEY_SPEED,C:\DATALOG.QCZ7.C_SX.R_S32.Trolley_Variables.TSPDREF
D_HOIST_POSITION,C:\DATALOG.QCZ7.C_SX.R_S32.Hoist_Variables.HPOS
D_HOIST_SPEED,C:\DATALOG.QCZ7.C_SX.R_S32.Hoist_Variables.HSPDREF
D_BOOM_POSITION,C:\DATALOG.QCZ7.C_SX.R_S32.Boom_Variables.BPOS
D_BOOM_SPEED,C:\DATALOG.QCZ7.C_SX.R_S32.Boom_Variables.BSPDREF
A_SPREADER_20FT,C:\DATALOG.QCZ7.C_SX.R_S32.IO_Variables.SP20FT
A_SPREADER_40FT,C:\DATALOG.QCZ7.C_SX.R_S32.IO_Variables.SP40FT
A_SPREADER_45FT,C:\DATALOG.QCZ7.C_SX.R_S32.IO_Variables.SP45FT
A_SPREADER_LANDED,C:\DATALOG.QCZ7.C_SX.R_S32.IO_Variables.SPLANDED
A_SPREADER_LOCKED,C:\DATALOG.QCZ7.C_SX.R_S32.Spreader_Variables.LOCKED
A_SPREADER_UNLOCKED,C:\DATALOG.QCZ7.C_SX.R_S32.Spreader_Variables.UNLOCKED